# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
COL23A1	ENSG00000050767	ENST00000390654	protein_coding	0	0	1	0	1	0	0	0	0
LINC01022	ENSG00000232715	ENST00000415652		0	0	1	1	0	0	0	0	0
MIR5707	ENSG00000265598	ENST00000582433	miRNA	0	0	1	1	0	0	0	0	0
MT-ATP6	ENSG00000198899	ENST00000361899	protein_coding	0	0	5	4	0	0	0	0	1
MT-ATP8	ENSG00000228253	ENST00000361851	protein_coding	0	0	4	3	0	0	0	0	1
MT-CO1	ENSG00000198804	ENST00000361624	protein_coding	0	0	5	2	0	0	0	0	3
MT-CO2	ENSG00000198712	ENST00000361739	protein_coding	0	0	6	3	0	0	0	0	3
MT-CO3	ENSG00000198938	ENST00000362079	protein_coding	0	0	5	4	0	0	0	0	1
MT-CYB	ENSG00000198727	ENST00000361789	protein_coding	0	2	8	4	0	2	0	0	4
MT-ND1	ENSG00000198888	ENST00000361390	protein_coding	0	0	6	1	0	0	0	0	5
MT-ND2	ENSG00000198763	ENST00000361453	protein_coding	1	0	5	0	0	0	0	1	5
MT-ND3	ENSG00000198840	ENST00000361227	protein_coding	0	0	7	6	0	0	0	0	1
MT-ND4	ENSG00000198886	ENST00000361381	protein_coding	1	0	9	9	0	0	0	1	0
MT-ND4L	ENSG00000212907	ENST00000361335	protein_coding	0	0	6	6	0	0	0	0	0
MT-ND5	ENSG00000198786	ENST00000361567	protein_coding	3	0	7	6	0	0	0	3	1
MT-ND6	ENSG00000198695	ENST00000361681	protein_coding	0	0	10	4	0	0	0	0	6
MT-RNR1	ENSG00000211459	ENST00000389680	Mt_rRNA	0	0	6	3	0	0	1	0	2
MT-RNR2	ENSG00000210082	ENST00000387347	Mt_rRNA	0	0	6	1	0	0	2	0	3
MT-TA	ENSG00000210127	ENST00000387392	Mt_tRNA	0	0	4	4	0	0	0	0	0
MT-TC	ENSG00000210140	ENST00000387405	Mt_tRNA	0	0	3	3	0	0	0	0	0
MT-TD	ENSG00000210154	ENST00000387419	Mt_tRNA	0	0	5	2	0	0	0	0	3
MT-TE	ENSG00000210194	ENST00000387459	Mt_tRNA	0	0	10	4	0	0	0	0	6
MT-TF	ENSG00000210049	ENST00000387314	Mt_tRNA	0	0	6	4	0	0	0	0	2
MT-TG	ENSG00000210164	ENST00000387429	Mt_tRNA	0	0	5	4	0	0	0	0	1
MT-TH	ENSG00000210176	ENST00000387441	Mt_tRNA	0	0	10	9	0	0	0	0	1
MT-TI	ENSG00000210100	ENST00000387365	Mt_tRNA	0	0	6	1	0	0	0	0	5
MT-TK	ENSG00000210156	ENST00000387421	Mt_tRNA	0	0	4	3	0	0	0	0	1
MT-TL1	ENSG00000209082	ENST00000386347	Mt_tRNA	0	0	6	1	0	0	0	0	5
MT-TL2	ENSG00000210191	ENST00000387456	Mt_tRNA	0	0	10	9	0	0	0	0	1
MT-TM	ENSG00000210112	ENST00000387377	Mt_tRNA	0	0	6	1	0	0	0	0	5
MT-TN	ENSG00000210135	ENST00000387400	Mt_tRNA	0	0	4	4	0	0	0	0	0
MT-TP	ENSG00000210196	ENST00000387461	Mt_tRNA	0	0	10	6	0	0	0	0	4
MT-TQ	ENSG00000210107	ENST00000387372	Mt_tRNA	0	0	6	5	0	0	0	0	1
MT-TR	ENSG00000210174	ENST00000387439	Mt_tRNA	0	0	6	6	0	0	0	0	0
MT-TS1	ENSG00000210151	ENST00000387416	Mt_tRNA	0	0	5	3	0	0	0	0	2
MT-TS2	ENSG00000210184	ENST00000387449	Mt_tRNA	0	0	10	9	0	0	0	0	1
MT-TT	ENSG00000210195	ENST00000387460	Mt_tRNA	0	0	10	4	0	0	0	0	6
MT-TV	ENSG00000210077	ENST00000387342	Mt_tRNA	0	0	6	3	0	0	0	0	3
MT-TW	ENSG00000210117	ENST00000387382	Mt_tRNA	0	0	4	0	0	0	0	0	4
MT-TY	ENSG00000210144	ENST00000387409	Mt_tRNA	0	0	3	3	0	0	0	0	0
